Q9842;primary school
Q149566;middle school
Q9430;ocean
Q928830;metro station
Q9259;UNESCO World Heritage Site
Q91028;administrative arrondissement of Belgium
Q8514;desert
Q8502;mountain
Q15324;body of water
Q28575;county
Q39816;valley
Q46831;mountain range
Q50337;prefecture of Japan
Q175185;rural area
Q191086;jungle
Q205895;landmass
Q207520;region of Japan
Q369639;region of Norway
Q15284;municipality
Q123705;neighborhood
Q161387;kibbutz
Q188509;suburb
Q200250;metropolis
Q245016;military base
Q253019;Ortsteil
Q269528;unincorporated area
Q329245;basic unit of settlement in the Czech Republic
Q484170;commune of France
Q498162;census-designated place
Q509028;ranch
Q582706;Israeli settlement
Q587144;census town
Q618299;settlement
Q622499;refugee camp
Q627236;company town
Q674950;residential area
Q702492;urban area
Q790344;district of Barcelona
Q815324;town municipality of Turkey
Q820254;mining community
Q1074523;planned community
Q1175522;County city (council system)
Q1198413;military camp
Q1288520;local council in Israel
Q1294703;shanty town
Q1326028;camp
Q1348006;city block
Q1372205;dispersed settlement
Q1394476;civil township
Q1426493;trailer park
Q1501046;community settlement
Q1529096;village in Turkey
Q1907114;metropolitan area
Q2755753;area of London
Q2989398;commune of Algeria
Q3172900;colony
Q3257686;locality
Q3477348;urban area
Q3559019;urban village
Q4313794;populated place in Georgia
Q4373615;colony of the Russian empire
Q4632675;dwelling place
Q4668360;Aboriginal community in Western Australia
Q4845841;settlement (Croatia)
Q5148433;Colonias of Mexico City
Q5195043;borough
Q7930989;city/town
Q10354598;rural settlement
Q10840661;urban area of Vietnam
Q12051488;populated place in Ukraine
Q12063697;neighborhood of Washington, D.C.
Q16480895;hamlet
Q24258416;railway station
Q26714626;large village
Q27062006;station
Q27554677;former capital
Q108775530;proposed human settlement
Q855697;subcontinent
Q1029013;Megaregions of the United States
Q1200957;tourist destination
Q1666245;region of China
Q1970725;natural region
Q2140699;wine-producing region
Q3744088;tourism region
Q30059;arrondissement
Q52105;habitat
Q107425;landscape
Q171809;county of England
Q356936;exclusion zone
Q453909;built-up area
Q518261;cultural area
Q1062177;capital region
Q1081138;historic site
Q1092661;moorland
Q1133961;commercial district
Q1185892;geological massif
Q1248049;Land
Q1286517;natural landscape
Q1389310;waterbody
Q1662024;industrial district
Q1742059;lake area
Q1852859;populated place in the Netherlands
Q2063507;recreation area
Q3241565;woodland
Q10594991;nature area
Q16363669;sports park
Q17350442;venue
Q27995042;wilderness area
Q55726155;financial district
Q99323582;quarter or sector of Monaco
Q820477;mine
Q12323;dam
Q12493;dome
Q27686;hotel
Q39614;cemetery
Q54831;amphitheatre
Q62447;aerodrome
Q62832;observatory
Q83405;factory
Q199451;pagoda
Q483110;stadium
Q483453;fountain
Q587682;oil well
Q653208;monolith
Q671224;data center
Q697295;shrine
Q699405;residence
Q1076486;sports venue
Q4260475;medical facility
